CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
29233;29233;Quimperlé;2;Centres urbains intermédiaires;12313;0,0;48,2;0,0;43,3;0,0;6,8;1,8;FinistÃ¨re;Bretagne;1;1;0;1;0;0;0;0;0;0;15;2;1;5;1;2;0;11;0;6;34;25;7;5;2;3;5
29235;29235;Le Relecq-Kerhuon;2;Centres urbains intermédiaires;11791;0,0;56,9;0,0;39,9;0,0;3,0;0,2;FinistÃ¨re;Bretagne;0;0;0;1;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;1;18;24;2;3;1;1;6
2A247;2A247;Porto-Vecchio;3;Petites villes;11229;0,0;0,0;51,7;0,0;0,0;38,9;9,5;Corse-du-Sud;Corse;1;1;0;1;0;0;0;0;0;0;10;2;2;5;1;1;0;8;0;3;55;38;7;6;0;2;6
30028;30028;Bagnols-sur-Cèze;2;Centres urbains intermédiaires;18248;0,0;70,9;0,0;20,3;0,0;7,2;1,6;Gard;Occitanie;1;4;1;1;0;2;0;1;0;0;19;3;4;1;1;2;2;6;3;4;39;24;2;7;4;0;10
30032;30032;Beaucaire;2;Centres urbains intermédiaires;15680;0,0;49,8;0,0;37,9;0,0;5,8;6,6;Gard;Occitanie;0;0;1;1;0;2;0;1;0;0;11;1;0;0;2;1;0;0;1;1;32;16;3;3;3;0;2
30202;30202;Pont-Saint-Esprit;2;Centres urbains intermédiaires;10600;0,0;59,1;0,0;33,7;0,0;6,6;0,7;Gard;Occitanie;1;2;0;1;0;1;0;0;0;0;5;1;1;0;0;0;0;6;0;3;40;6;1;5;2;0;6
30258;30258;Saint-Gilles;2;Centres urbains intermédiaires;14264;0,0;55,2;0,0;31,3;0,1;6,9;6,5;Gard;Occitanie;0;0;0;1;0;2;0;0;0;0;8;0;0;0;0;0;0;1;0;2;59;7;4;1;3;0;0
30341;30341;Vauvert;2;Centres urbains intermédiaires;11774;0,0;62,4;0,0;18,8;5,4;8,2;5,2;Gard;Occitanie;0;0;0;1;0;0;0;0;0;0;9;1;1;0;0;2;1;0;0;3;29;20;5;3;1;0;3
30351;30351;Villeneuve-lès-Avignon;1;Grands centres urbains;12617;89,0;0,0;0,0;6,9;0,0;3,3;0,9;Gard;Occitanie;0;0;0;1;0;2;2;0;1;1;13;0;2;0;9;0;2;1;1;1;36;12;2;3;2;0;9
31033;31033;Auterive;3;Petites villes;10126;0,0;0,0;81,0;0,0;0,0;16,9;2,1;Haute-Garonne;Occitanie;1;1;0;1;0;0;0;0;0;0;10;0;1;0;0;6;0;1;1;3;13;15;8;6;1;5;11
31044;31044;Balma;1;Grands centres urbains;17385;75,2;0,0;0,0;21,3;0,0;3,2;0,4;Haute-Garonne;Occitanie;0;0;0;1;0;0;0;0;1;1;23;1;1;0;3;1;2;1;1;3;28;51;18;8;0;5;23
31113;31113;Castanet-Tolosan;2;Centres urbains intermédiaires;14903;0,0;69,4;0,0;28,9;0,0;1,3;0,4;Haute-Garonne;Occitanie;1;1;0;0;0;0;0;0;0;0;19;1;1;0;1;0;0;0;1;2;28;41;8;4;0;5;20
31116;31116;Castelginest;1;Grands centres urbains;10876;76,4;0,0;0,0;19,9;0,0;3,7;0,0;Haute-Garonne;Occitanie;1;1;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;2;12;14;7;4;0;1;6
31187;31187;Fonsorbes;2;Centres urbains intermédiaires;12546;0,0;52,4;0,0;38,2;2,8;6,2;0,5;Haute-Garonne;Occitanie;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;5;0;1;9;8;7;3;0;4;10
31424;31424;Plaisance-du-Touch;1;Grands centres urbains;19944;80,4;0,0;0,0;11,1;1,7;5,8;1,0;Haute-Garonne;Occitanie;1;3;0;1;0;0;0;0;0;0;17;1;3;0;0;2;3;5;1;7;24;27;13;5;1;8;18
31446;31446;Ramonville-Saint-Agne;1;Grands centres urbains;14949;77,7;0,0;0,0;22,2;0,0;0,1;0,1;Haute-Garonne;Occitanie;1;1;0;1;0;0;0;0;1;1;17;0;2;1;5;4;1;2;2;7;35;24;8;4;0;3;25
31483;31483;Saint-Gaudens;2;Centres urbains intermédiaires;11613;0,0;53,3;0,0;33,1;0,0;12,6;1,1;Haute-Garonne;Occitanie;1;7;0;2;0;2;0;1;1;1;14;6;0;0;0;2;0;13;2;2;42;21;7;5;1;4;10
31488;31488;Saint-Jean;1;Grands centres urbains;11243;71,8;0,0;0,0;28,0;0,0;0,0;0,2;Haute-Garonne;Occitanie;0;0;0;1;0;0;0;0;0;0;29;7;2;5;1;8;4;17;6;2;13;60;6;4;1;2;12
31506;31506;Saint-Orens-de-Gameville;2;Centres urbains intermédiaires;13766;0,0;76,3;0,0;21,9;0,0;1,6;0,2;Haute-Garonne;Occitanie;0;0;0;1;0;0;0;0;1;1;19;0;1;0;2;1;3;1;1;3;30;45;6;5;2;3;9
31561;31561;L'Union;1;Grands centres urbains;12358;87,2;0,0;0,0;12,7;0,0;0,0;0,1;Haute-Garonne;Occitanie;1;1;0;1;0;0;0;0;0;0;16;2;2;2;3;1;3;1;2;3;28;34;12;6;0;3;20
31588;31588;Villeneuve-Tolosane;1;Grands centres urbains;10369;82,6;0,0;0,0;17,4;0,0;0,0;0,0;Haute-Garonne;Occitanie;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;17;20;2;2;0;0;3
33003;33003;Ambarès-et-Lagrave;2;Centres urbains intermédiaires;16798;0,0;59,9;0,0;37,2;0,0;2,6;0,3;Gironde;Nouvelle-Aquitaine;0;0;0;1;0;0;0;0;0;0;16;0;0;0;0;3;0;0;0;1;29;17;1;4;0;0;2
33005;33005;Andernos-les-Bains;3;Petites villes;12472;0,0;0,0;94,9;0,0;0,0;4,7;0,4;Gironde;Nouvelle-Aquitaine;1;0;0;1;1;0;0;1;0;0;17;0;3;0;0;1;1;1;0;2;30;31;14;7;3;2;11
33009;33009;Arcachon;4;Ceintures urbaines;11259;0,0;43,4;0,0;55,5;0,0;0,8;0,4;Gironde;Nouvelle-Aquitaine;1;3;0;1;1;1;0;1;1;1;28;5;3;0;1;1;0;0;1;1;98;28;4;11;4;1;9
33051;33051;Biganos;2;Centres urbains intermédiaires;11095;0,0;45,8;0,0;40,5;0,0;12,0;1,7;Gironde;Nouvelle-Aquitaine;1;1;0;1;0;0;0;0;0;0;78;1;1;0;1;0;0;6;1;3;42;18;7;6;1;2;3
33056;33056;Blanquefort;1;Grands centres urbains;16004;50,2;0,0;0,0;47,0;0,0;1,8;1,0;Gironde;Nouvelle-Aquitaine;1;2;0;1;0;0;1;0;1;1;12;3;3;0;2;1;3;0;1;2;38;25;8;6;1;0;5
33122;33122;Cestas;4;Ceintures urbaines;16789;0,0;0,0;0,0;84,2;0,9;12,6;2,3;Gironde;Nouvelle-Aquitaine;1;2;0;1;0;0;0;0;0;0;17;1;1;0;2;1;0;4;4;2;55;39;7;11;1;2;6
33167;33167;Floirac;1;Grands centres urbains;17749;95,1;0,0;0,0;4,9;0,0;0,0;0,0;Gironde;Nouvelle-Aquitaine;0;0;0;2;0;0;0;1;1;0;29;2;1;7;6;2;3;0;4;2;89;32;7;6;0;5;8
33200;33200;Le Haillan;1;Grands centres urbains;11572;83,6;0,0;0,0;15,5;0,0;0,8;0,1;Gironde;Nouvelle-Aquitaine;1;1;0;1;0;0;0;0;1;1;6;0;0;0;1;1;0;0;0;2;10;20;5;4;0;0;9
33238;33238;Léognan;4;Ceintures urbaines;10708;0,2;0,0;0,0;86,5;0,0;12,8;0,5;Gironde;Nouvelle-Aquitaine;1;1;0;1;0;0;1;0;1;1;10;0;0;0;1;2;0;4;0;3;12;19;10;4;0;3;9
33284;33284;Mios;5;Bourgs ruraux;11469;0,0;0,0;48,6;0,0;13,1;35,6;2,7;Gironde;Nouvelle-Aquitaine;0;0;0;1;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;28;10;1;3;0;0;1
33312;33312;Parempuyre;2;Centres urbains intermédiaires;10142;0,0;65,6;0,0;27,7;0,0;5,0;1,7;Gironde;Nouvelle-Aquitaine;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;12;13;5;3;0;0;4
33366;33366;Saint-André-de-Cubzac;2;Centres urbains intermédiaires;12854;0,0;46,8;0,0;37,0;0,0;16,2;0,0;Gironde;Nouvelle-Aquitaine;1;0;0;1;0;0;0;0;0;0;16;2;1;1;1;7;2;0;0;8;28;19;17;6;1;1;12
33433;33433;Saint-Loubès;4;Ceintures urbaines;10005;0,0;0,0;0,0;81,9;0,0;16,9;1,1;Gironde;Nouvelle-Aquitaine;0;0;0;1;0;0;0;0;1;1;6;1;0;0;0;0;0;0;0;0;19;8;5;5;1;1;7
33519;33519;Le Taillan-Médoc;1;Grands centres urbains;10727;73,6;0,0;0,0;23,9;0,0;2,3;0,2;Gironde;Nouvelle-Aquitaine;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;3;11;21;5;2;1;0;7
34123;34123;Juvignac;4;Ceintures urbaines;12783;46,4;0,0;0,0;52,0;0,0;1,1;0,5;HÃ©rault;Occitanie;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;1;1;2;0;3;17;49;14;4;1;1;5
34129;34129;Lattes;1;Grands centres urbains;17544;65,3;0,0;0,0;30,3;0,0;3,8;0,6;HÃ©rault;Occitanie;1;12;0;1;0;1;0;0;1;1;28;4;4;1;2;7;2;3;3;4;29;69;11;7;0;6;16
34154;34154;Mauguio;2;Centres urbains intermédiaires;16596;0,0;60,8;0,0;29,3;0,0;6,7;3,3;HÃ©rault;Occitanie;0;0;0;2;0;0;1;0;0;0;20;1;2;3;1;2;1;0;0;3;49;64;15;11;2;0;7
34157;34157;Mèze;2;Centres urbains intermédiaires;12664;0,0;86,9;0,0;5,3;0,0;4,1;3,7;HÃ©rault;Occitanie;1;1;0;2;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0;1;25;27;5;2;1;0;5
34255;34255;Saint-Gély-du-Fesc;2;Centres urbains intermédiaires;10537;0,0;68,2;0,0;24,7;0,0;6,4;0,7;HÃ©rault;Occitanie;1;0;0;0;0;0;0;0;0;0;19;3;3;1;3;1;1;4;2;2;21;37;23;6;2;2;17
34270;34270;Saint-Jean-de-Védas;1;Grands centres urbains;12570;62,7;0,0;0,0;30,6;0,0;6,2;0,5;HÃ©rault;Occitanie;0;0;0;2;0;0;0;0;1;0;23;2;4;8;2;16;7;12;3;2;33;48;13;4;1;2;9
34337;34337;Villeneuve-lès-Maguelone;2;Centres urbains intermédiaires;10405;0,0;68,8;0,0;22,4;0,0;7,6;1,2;HÃ©rault;Occitanie;0;0;0;1;0;0;0;0;0;0;9;0;0;0;1;1;0;0;0;0;17;26;5;1;1;3;3
35024;35024;Betton;2;Centres urbains intermédiaires;12695;0,0;56,2;0,0;31,3;0,0;10,1;2,4;Ille-et-Vilaine;Bretagne;1;1;0;1;1;0;0;0;0;0;10;1;2;0;0;1;1;0;0;4;13;25;7;3;1;1;11
35047;35047;Bruz;2;Centres urbains intermédiaires;19651;0,0;58,0;0,0;32,9;3,0;5,1;1,0;Ille-et-Vilaine;Bretagne;2;1;0;1;1;0;0;0;1;1;22;1;2;0;3;0;0;0;0;3;25;27;11;4;2;0;13
35051;35051;Cesson-Sévigné;1;Grands centres urbains;17716;77,2;0,0;0,0;13,4;0,0;7,6;1,7;Ille-et-Vilaine;Bretagne;1;1;0;1;0;0;0;0;0;0;21;8;5;9;4;10;1;33;4;7;25;39;5;5;3;0;21
35055;35055;Chantepie;1;Grands centres urbains;10232;84,7;0,0;0,0;7,7;0,0;7,1;0,5;Ille-et-Vilaine;Bretagne;0;0;1;1;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2;10;13;4;3;1;2;9
35069;35069;Châteaugiron;3;Petites villes;10518;0,0;0,0;74,7;0,0;11,1;11,9;2,4;Ille-et-Vilaine;Bretagne;1;1;0;3;0;0;0;0;0;0;6;0;0;0;0;2;0;9;0;2;7;12;6;3;0;0;8
35093;35093;Dinard;2;Centres urbains intermédiaires;10219;0,0;55,5;0,0;40,6;0,0;3,9;0,1;Ille-et-Vilaine;Bretagne;1;2;0;1;0;0;0;1;0;0;13;2;1;0;0;6;0;2;1;1;29;15;4;6;1;0;7
35210;35210;Pacé;2;Centres urbains intermédiaires;11918;0,0;62,2;0,0;26,1;0,1;8,4;3,2;Ille-et-Vilaine;Bretagne;0;0;0;1;0;0;0;0;0;0;13;0;0;0;1;2;0;0;0;2;6;13;7;2;0;3;10
35281;35281;Saint-Jacques-de-la-Lande;1;Grands centres urbains;13656;80,6;0,0;0,0;18,7;0,0;0,2;0,4;Ille-et-Vilaine;Bretagne;0;0;0;1;0;0;0;0;2;3;12;0;0;0;0;0;0;27;0;2;9;12;7;3;0;0;6
35360;35360;Vitré;2;Centres urbains intermédiaires;18998;0,0;55,1;0,0;37,5;0,0;4,9;2,5;Ille-et-Vilaine;Bretagne;1;3;1;1;0;2;0;1;1;3;21;1;2;2;1;10;0;2;2;5;17;28;9;8;1;0;7
36088;36088;Issoudun;2;Centres urbains intermédiaires;10992;0,0;60,3;0,0;31,7;0,0;6,0;2,0;Indre;Centre-Val de Loire;1;3;0;1;0;1;0;1;1;2;8;0;0;0;1;2;0;5;0;0;15;12;2;4;0;0;1
37003;37003;Amboise;3;Petites villes;12938;0,0;0,0;94,1;0,0;0,0;4,8;1,1;Indre-et-Loire;Centre-Val de Loire;1;2;0;1;0;2;1;1;0;0;12;2;1;1;1;2;1;32;3;4;15;13;9;4;3;3;10
37050;37050;Chambray-lès-Tours;1;Grands centres urbains;11589;82,2;0,0;0,0;7,4;0,0;9,3;1,1;Indre-et-Loire;Centre-Val de Loire;1;1;0;1;0;0;0;1;0;0;19;8;1;13;5;8;9;45;14;3;13;25;4;4;1;1;4
37109;37109;Fondettes;4;Ceintures urbaines;10741;0,0;0,0;0,0;84,6;0,2;13,8;1,4;Indre-et-Loire;Centre-Val de Loire;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2;10;20;8;2;0;0;7
37156;37156;Montlouis-sur-Loire;4;Ceintures urbaines;11048;0,0;0,0;0,0;86,5;0,0;11,4;2,1;Indre-et-Loire;Centre-Val de Loire;0;0;0;1;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;3;11;9;13;3;0;1;4
37195;37195;La Riche;1;Grands centres urbains;10325;78,9;0,0;0,0;15,3;0,0;5,6;0,2;Indre-et-Loire;Centre-Val de Loire;1;1;0;1;0;1;0;0;1;1;10;1;0;0;1;0;1;0;0;3;10;3;7;2;0;0;9
37208;37208;Saint-Avertin;1;Grands centres urbains;15000;82,3;0,0;0,0;17,5;0,0;0,0;0,2;Indre-et-Loire;Centre-Val de Loire;0;0;0;1;0;0;0;0;0;0;18;0;3;0;2;0;1;0;2;3;12;28;6;6;1;0;8
37214;37214;Saint-Cyr-sur-Loire;1;Grands centres urbains;17004;60,6;0,0;0,0;38,8;0,0;0,4;0,2;Indre-et-Loire;Centre-Val de Loire;1;1;0;1;0;0;0;1;0;0;26;26;4;18;1;8;0;40;2;4;23;35;6;6;0;0;13
37233;37233;Saint-Pierre-des-Corps;1;Grands centres urbains;15909;95,4;0,0;0,0;4,1;0,0;0,5;0,1;Indre-et-Loire;Centre-Val de Loire;1;1;0;2;0;0;0;1;0;0;6;0;1;1;0;1;1;9;0;2;6;13;12;3;2;0;5
38085;38085;Charvieu-Chavagneux;4;Ceintures urbaines;10280;0,0;0,0;0,0;98,1;0,0;1,9;0,0;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;1;16;5;6;2;0;0;0
38193;38193;L'Isle-d'Abeau;2;Centres urbains intermédiaires;17206;0,0;71,7;0,0;27,1;0,0;1,2;0,0;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2;8;10;2;1;0;0;4
38229;38229;Meylan;1;Grands centres urbains;18573;84,8;0,0;0,0;13,9;0,0;0,9;0,3;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;1;5;0;0;0;1;1;1;30;4;5;0;4;1;9;1;1;3;35;63;12;7;0;1;29
38317;38317;Le Pont-de-Claix;1;Grands centres urbains;10805;85,2;0,0;0,0;12,9;0,0;2,0;0,0;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;1;1;0;0;0;1;0;0;9;0;1;0;3;0;0;2;1;3;20;8;8;4;0;0;1
38382;38382;Saint-Égrève;1;Grands centres urbains;16995;71,2;0,0;0,0;26,7;0,0;2,1;0,0;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;1;2;1;3;0;0;0;1;0;0;13;0;2;0;4;0;1;0;2;2;26;35;12;4;0;1;11
38474;38474;Sassenage;1;Grands centres urbains;11660;88,9;0,0;0,0;9,1;0,0;1,7;0,3;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;1;1;0;0;0;0;1;1;10;0;0;0;1;0;0;0;0;2;20;13;2;2;0;0;2
38485;38485;Seyssinet-Pariset;1;Grands centres urbains;11753;96,5;0,0;0,0;0,0;0,0;3,2;0,3;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;0;0;1;1;0;0;0;0;1;1;15;0;1;0;1;1;0;2;0;2;24;30;9;2;1;0;4
38553;38553;Villefontaine;2;Centres urbains intermédiaires;19083;0,0;92,6;0,0;6,6;0,0;0,8;0,0;IsÃ¨re;Auvergne-RhÃ´ne-Alpes;1;0;1;3;0;0;0;1;1;1;22;0;0;0;1;0;0;23;0;5;21;8;7;5;0;1;10
39300;39300;Lons-le-Saunier;2;Centres urbains intermédiaires;17043;0,0;77,9;0,0;21,4;0,0;0,7;0,0;Jura;Bourgogne-Franche-ComtÃ©;3;12;1;3;2;3;0;0;1;1;20;4;0;0;1;3;1;8;1;4;20;21;6;7;3;7;15
40046;40046;Biscarrosse;3;Petites villes;14551;0,0;0,0;68,8;0,0;10,0;18,1;3,2;Landes;Nouvelle-Aquitaine;1;4;0;1;1;1;0;0;1;1;15;1;1;1;0;3;1;1;0;2;33;31;4;8;0;0;13
40279;40279;Saint-Paul-lès-Dax;2;Centres urbains intermédiaires;14317;0,0;51,4;0,0;38,9;0,0;6,0;3,7;Landes;Nouvelle-Aquitaine;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;1;1;0;1;4;25;44;5;5;2;5;11
40312;40312;Tarnos;4;Ceintures urbaines;12920;47,5;0,0;0,0;45,9;0,0;6,2;0,3;Landes;Nouvelle-Aquitaine;1;12;0;1;0;0;0;1;0;0;15;0;1;0;0;7;0;2;2;4;41;31;4;4;0;2;4
41194;41194;Romorantin-Lanthenay;3;Petites villes;18115;0,0;35,9;0,0;56,2;0,0;6,7;1,2;Loir-et-Cher;Centre-Val de Loire;1;3;0;1;0;1;0;1;1;1;16;0;1;0;2;1;0;4;1;2;23;10;2;7;1;0;3
41269;41269;Vendôme;2;Centres urbains intermédiaires;15747;0,0;73,8;0,0;21,3;0,0;4,6;0,4;Loir-et-Cher;Centre-Val de Loire;1;5;0;2;0;1;0;1;2;2;16;3;1;2;1;7;3;15;3;6;15;10;4;9;3;0;8
42005;42005;Andrézieux-Bouthéon;2;Centres urbains intermédiaires;10187;0,0;55,3;0,0;39,7;0,0;4,6;0,4;Loire;Auvergne-RhÃ´ne-Alpes;0;0;1;4;0;0;0;0;1;1;24;0;1;0;2;2;1;0;1;0;24;13;7;2;1;0;4
42044;42044;Le Chambon-Feugerolles;2;Centres urbains intermédiaires;12066;0,0;53,7;0,0;42,1;0,0;2,9;1,4;Loire;Auvergne-RhÃ´ne-Alpes;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;1;1;34;8;3;2;0;0;0
42095;42095;Firminy;2;Centres urbains intermédiaires;17137;0,0;90,7;0,0;6,2;0,0;3,2;0,0;Loire;Auvergne-RhÃ´ne-Alpes;1;2;0;1;1;0;0;1;1;1;14;3;0;0;3;1;1;0;2;6;39;26;0;8;1;0;9
42147;42147;Montbrison;2;Centres urbains intermédiaires;16064;0,0;66,6;0,0;29,7;0,0;3,1;0,6;Loire;Auvergne-RhÃ´ne-Alpes;1;5;0;2;0;2;0;2;0;0;18;0;2;6;0;5;0;0;2;4;26;27;10;6;1;2;11
42184;42184;Riorges;2;Centres urbains intermédiaires;11045;0,0;65,0;0,0;31,8;0,0;2,9;0,3;Loire;Auvergne-RhÃ´ne-Alpes;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;11;15;2;2;0;0;1
42186;42186;Rive-de-Gier;2;Centres urbains intermédiaires;15214;0,0;67,6;0,0;31,8;0,0;0,4;0,1;Loire;Auvergne-RhÃ´ne-Alpes;1;2;1;1;0;0;0;1;0;0;16;1;1;0;2;0;0;0;0;2;44;13;6;5;1;2;6
42279;42279;Saint-Just-Saint-Rambert;4;Ceintures urbaines;15419;0,0;0,1;0,0;87,4;0,0;10,9;1,7;Loire;Auvergne-RhÃ´ne-Alpes;1;7;0;1;0;1;0;0;0;0;19;0;1;0;0;0;0;0;1;4;32;31;7;6;0;2;5
43157;43157;Le Puy-en-Velay;2;Centres urbains intermédiaires;18629;0,0;65,8;0,0;31,9;0,0;1,8;0,5;Haute-Loire;Auvergne-RhÃ´ne-Alpes;1;6;1;2;1;1;1;3;2;2;21;3;1;4;11;4;2;17;1;2;44;30;11;12;5;4;12
44003;44003;Ancenis-Saint-Géréon;3;Petites villes;11099;0,0;0,0;91,7;0,0;0,0;5,8;2,5;Loire-Atlantique;Pays de la Loire;1;0;0;1;0;0;0;0;1;1;14;2;1;14;0;22;0;9;0;4;7;19;8;3;2;1;8
44015;44015;Blain;3;Petites villes;10187;0,0;0,0;52,4;0,0;0,0;33,5;14,1;Loire-Atlantique;Pays de la Loire;1;1;0;2;0;1;0;0;0;0;13;0;0;0;0;0;0;0;0;3;15;8;5;5;1;0;6
44036;44036;Châteaubriant;3;Petites villes;12189;0,0;0,0;87,2;0,0;0,0;9,6;3,2;Loire-Atlantique;Pays de la Loire;1;4;1;1;0;1;0;0;1;1;10;1;0;2;0;5;0;6;0;3;13;15;8;6;4;1;8
44055;44055;La Baule-Escoublac;2;Centres urbains intermédiaires;16468;0,0;49,5;0,0;42,7;0,0;6,7;1,1;Loire-Atlantique;Pays de la Loire;1;5;1;1;1;0;0;2;0;0;16;3;1;0;0;2;0;1;0;0;28;23;6;7;1;4;10
44069;44069;Guérande;4;Ceintures urbaines;16151;0,0;1,8;0,0;59,4;7,8;28,4;2,7;Loire-Atlantique;Pays de la Loire;1;6;0;1;1;1;0;1;1;1;23;2;0;3;10;10;1;13;0;5;19;27;5;6;2;1;15
44129;44129;Pontchâteau;3;Petites villes;11075;0,0;0,0;52,6;0,0;0,0;45,6;1,7;Loire-Atlantique;Pays de la Loire;1;1;0;1;0;0;0;0;0;0;7;4;0;0;0;1;0;0;0;2;9;5;7;3;0;0;2
44131;44131;Pornic;3;Petites villes;17910;0,0;0,0;71,4;0,0;0,0;22,9;5,7;Loire-Atlantique;Pays de la Loire;2;2;0;1;0;0;0;0;0;0;26;1;2;1;2;26;0;3;0;4;21;30;9;5;2;0;6
44132;44132;Pornichet;4;Ceintures urbaines;12121;0,0;26,4;0,0;68,2;0,0;5,4;0,0;Loire-Atlantique;Pays de la Loire;0;0;0;1;0;0;0;0;1;1;16;0;0;0;1;0;0;0;0;1;21;21;3;7;1;1;4
44154;44154;Saint-Brevin-les-Pins;3;Petites villes;14411;0,0;0,0;90,7;0,0;0,0;8,7;0,6;Loire-Atlantique;Pays de la Loire;1;3;0;0;0;0;0;0;0;0;12;1;0;0;0;4;0;0;0;1;18;11;7;6;2;1;6
44172;44172;Sainte-Luce-sur-Loire;1;Grands centres urbains;15527;80,6;0,1;0,0;18,7;0,0;0,5;0,1;Loire-Atlantique;Pays de la Loire;0;0;0;1;0;0;0;0;0;0;13;0;1;0;0;1;0;0;1;2;12;20;6;4;0;0;10
44204;44204;Thouaré-sur-Loire;2;Centres urbains intermédiaires;10783;0,0;69,0;0,0;23,4;0,0;7,3;0,3;Loire-Atlantique;Pays de la Loire;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;7;10;6;3;1;0;2
44209;44209;Treillières;3;Petites villes;10230;0,0;0,0;67,1;5,0;0,0;26,1;1,8;Loire-Atlantique;Pays de la Loire;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;9;5;2;1;0;4
45004;45004;Amilly;4;Ceintures urbaines;13267;0,0;5,0;0,0;79,3;0,0;14,6;1,0;Loiret;Centre-Val de Loire;0;0;0;1;0;0;0;0;0;0;9;3;0;0;0;0;0;4;0;0;13;5;3;2;0;3;3
45068;45068;Châlette-sur-Loing;2;Centres urbains intermédiaires;12728;0,0;61,4;0,0;38,0;0,0;0,5;0,0;Loiret;Centre-Val de Loire;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0
45075;45075;La Chapelle-Saint-Mesmin;1;Grands centres urbains;10218;79,0;0,0;0,0;15,3;0,0;5,7;0,0;Loiret;Centre-Val de Loire;0;0;0;1;0;0;0;1;0;0;4;0;0;0;0;3;1;0;1;1;7;11;6;4;1;1;0
45155;45155;Gien;3;Petites villes;13387;0,0;37,4;0,0;49,4;0,0;11,3;2,0;Loiret;Centre-Val de Loire;1;1;0;2;0;1;0;1;0;0;13;0;1;4;2;0;0;10;2;1;15;12;3;4;1;0;4
45208;45208;Montargis;2;Centres urbains intermédiaires;15061;0,0;91,6;0,0;8,2;0,0;0,0;0,2;Loiret;Centre-Val de Loire;1;9;1;1;0;2;0;1;0;0;22;3;2;4;1;5;1;16;5;2;22;12;6;7;1;2;11
45285;45285;Saint-Jean-de-la-Ruelle;1;Grands centres urbains;16594;100,0;0,0;0,0;0,0;0,0;0,0;0,0;Loiret;Centre-Val de Loire;0;0;1;3;0;0;0;0;0;0;15;0;1;0;1;0;0;1;0;1;15;13;4;4;1;0;7
45302;45302;Saran;4;Ceintures urbaines;16679;34,6;0,0;0,0;63,0;0,0;2,4;0,1;Loiret;Centre-Val de Loire;1;10;0;1;0;0;0;0;1;1;19;21;0;4;0;1;2;52;8;2;9;25;1;2;1;0;4
47157;47157;Marmande;2;Centres urbains intermédiaires;17239;0,0;55,8;0,0;27,7;0,0;14,7;1,8;Lot-et-Garonne;Nouvelle-Aquitaine;1;4;1;1;2;1;1;1;0;0;19;2;0;1;1;4;0;0;1;1;32;20;6;10;0;2;12
48095;48095;Mende;3;Petites villes;12316;0,0;42,7;0,0;49,2;0,0;6,4;1,7;LozÃ¨re;Occitanie;1;3;1;4;0;1;0;3;2;2;14;1;0;0;2;2;2;1;1;2;19;17;3;4;0;0;6
49015;49015;Avrillé;1;Grands centres urbains;14938;68,6;0,0;0,0;28,5;0,0;2,0;0,9;Maine-et-Loire;Pays de la Loire;0;0;0;2;0;0;0;0;1;1;18;0;0;0;1;1;1;0;0;2;15;18;6;8;2;4;8
