CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
06149;6149;La Trinité;1;Grands centres urbains;10276;72,8;0,0;0,0;20,1;0,0;6,0;1,1;Alpes-Maritimes;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;13;0;0;0;0;2;0;0;0;1;22;22;6;1;0;0;3
06152;6152;Valbonne;4;Ceintures urbaines;12754;0,0;0,0;0,0;94,3;0,0;5,5;0,3;Alpes-Maritimes;Provence-Alpes-CÃ´te d'Azur;2;2;1;1;0;0;0;0;0;0;25;0;2;0;3;1;1;1;3;3;22;38;14;2;2;1;20
06157;6157;Vence;2;Centres urbains intermédiaires;19415;0,0;55,8;0,0;42,8;0,0;0,8;0,6;Alpes-Maritimes;Provence-Alpes-CÃ´te d'Azur;1;2;1;1;0;0;0;0;0;0;22;1;1;2;2;2;0;0;1;3;54;42;9;7;2;1;12
06161;6161;Villeneuve-Loubet;1;Grands centres urbains;16779;75,2;0,0;0,0;21,6;0,0;2,9;0,4;Alpes-Maritimes;Provence-Alpes-CÃ´te d'Azur;1;0;0;1;0;1;0;1;0;0;11;0;0;0;0;0;0;0;0;4;34;27;3;3;0;0;7
07010;7010;Annonay;3;Petites villes;16873;0,0;47,3;0,0;48,9;0,0;3,4;0,5;ArdÃ¨che;Auvergne-RhÃ´ne-Alpes;1;4;1;1;1;1;0;1;1;0;15;3;1;0;2;2;1;1;1;3;29;10;4;4;0;2;6
07019;7019;Aubenas;2;Centres urbains intermédiaires;12360;0,0;49,3;0,0;44,9;0,0;5,9;0,0;ArdÃ¨che;Auvergne-RhÃ´ne-Alpes;1;0;0;1;1;0;0;0;1;1;12;1;2;2;0;3;0;4;2;4;36;19;7;7;1;1;10
07102;7102;Guilherand-Granges;1;Grands centres urbains;11203;86,8;0,0;0,0;11,9;0,0;1,3;0,1;ArdÃ¨che;Auvergne-RhÃ´ne-Alpes;1;1;0;2;0;0;0;0;0;0;19;10;2;3;1;1;4;20;12;1;32;17;6;6;0;0;5
07324;7324;Tournon-sur-Rhône;2;Centres urbains intermédiaires;11191;0,0;52,3;0,0;43,8;0,0;3,2;0,7;ArdÃ¨che;Auvergne-RhÃ´ne-Alpes;1;2;0;1;0;1;0;0;0;0;7;1;1;1;0;1;0;3;1;3;15;15;5;3;1;0;3
08409;8409;Sedan;2;Centres urbains intermédiaires;16608;0,0;71,2;0,0;25,1;0,0;3,4;0,3;Ardennes;Grand Est;1;3;0;1;0;1;0;0;1;1;14;3;0;2;1;0;1;1;0;5;27;19;8;5;1;1;2
09225;9225;Pamiers;2;Centres urbains intermédiaires;16394;0,0;51,6;0,0;40,8;0,0;4,7;2,9;AriÃ¨ge;Occitanie;1;2;1;1;0;0;0;1;0;0;15;0;0;0;2;3;1;1;1;2;74;19;5;9;4;4;13
10081;10081;La Chapelle-Saint-Luc;1;Grands centres urbains;12299;77,9;0,0;0,0;20,7;0,0;1,2;0,2;Aube;Grand Est;0;0;0;1;0;0;0;1;0;0;14;1;1;0;1;1;2;0;0;2;13;4;1;2;0;0;1
10323;10323;Romilly-sur-Seine;2;Centres urbains intermédiaires;14766;0,0;72,0;0,0;26,5;0,0;1,0;0,4;Aube;Grand Est;1;3;1;1;0;0;0;1;0;0;8;1;0;3;0;4;2;1;0;4;16;11;3;5;3;1;2
10333;10333;Saint-André-les-Vergers;1;Grands centres urbains;12775;82,7;0,0;0,0;16,5;0,0;0,7;0,0;Aube;Grand Est;0;0;0;2;0;0;0;0;1;1;10;5;0;3;0;4;0;6;0;0;14;10;3;5;0;0;1
10362;10362;Sainte-Savine;1;Grands centres urbains;10515;91,7;0,0;0,0;7,9;0,0;0,4;0,0;Aube;Grand Est;0;0;1;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;15;15;7;2;1;0;4
11076;11076;Castelnaudary;2;Centres urbains intermédiaires;12448;0,0;63,8;0,0;20,1;0,0;11,0;5,1;Aude;Occitanie;1;0;0;1;0;1;0;1;1;1;11;1;0;0;0;2;0;0;3;5;27;23;8;5;2;5;7
11203;11203;Lézignan-Corbières;2;Centres urbains intermédiaires;10952;0,0;62,3;0,0;32,3;0,0;4,1;1,4;Aude;Occitanie;1;1;0;1;0;0;0;0;0;0;7;0;0;2;0;9;0;16;0;2;34;20;4;7;1;1;2
11206;11206;Limoux;3;Petites villes;10302;0,0;0,0;88,7;0,0;0,0;9,2;2,1;Aude;Occitanie;1;1;0;2;0;1;0;0;0;0;13;3;1;1;1;1;0;17;0;3;39;20;2;4;1;4;5
12176;12176;Onet-le-Château;2;Centres urbains intermédiaires;11873;0,0;58,5;0,0;27,2;0,1;12,4;1,8;Aveyron;Occitanie;0;0;0;1;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;2;11;15;5;2;0;0;5
12300;12300;Villefranche-de-Rouergue;3;Petites villes;11720;0,0;0,0;80,7;0,0;0,0;15,6;3,7;Aveyron;Occitanie;1;2;0;1;1;1;0;1;0;0;11;3;1;1;0;0;0;1;1;2;29;10;4;6;1;2;8
13007;13007;Auriol;4;Ceintures urbaines;12839;0,0;0,0;12,2;71,5;0,0;15,7;0,6;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;1;0;0;0;3;47;20;8;2;0;3;7
13014;13014;Berre-l'Étang;2;Centres urbains intermédiaires;13912;0,0;68,3;0,0;11,6;0,2;17,6;2,3;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;1;0;1;0;0;0;1;1;1;9;0;0;0;0;0;0;0;0;1;24;8;3;1;1;0;3
