CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_G101;NB_G102;NB_G103;NB_G104;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES
08409;8409;Sedan;2;Centres urbains intermédiaires;16608;0;71,22;0;25,06;0;3,38;0,34;Ardennes;Grand Est;3;4;1;1;1;3;0;1;0;1;0;0;1;1
09225;9225;Pamiers;2;Centres urbains intermédiaires;16394;0;51,59;0;40,79;0;4,68;2,93;Ariège;Occitanie;2;5;1;0;1;2;1;1;0;0;0;1;0;0
10081;10081;La Chapelle-Saint-Luc;1;Grands centres urbains;12299;77,91;0;0;20,69;0;1,23;0,17;Aube;Grand Est;2;2;0;1;0;0;0;1;0;0;0;1;0;0
10323;10323;Romilly-sur-Seine;2;Centres urbains intermédiaires;14766;0;72;0;26,53;0;1,03;0,44;Aube;Grand Est;2;2;0;0;1;3;1;1;0;0;0;1;0;0
10333;10333;Saint-André-les-Vergers;1;Grands centres urbains;12775;82,74;0;0;16,53;0;0,73;0;Aube;Grand Est;1;2;0;0;0;0;0;2;0;0;0;0;1;1
10362;10362;Sainte-Savine;1;Grands centres urbains;10515;91,69;0;0;7,93;0;0,38;0;Aube;Grand Est;0;2;0;0;0;0;1;1;0;0;0;1;0;0
11076;11076;Castelnaudary;2;Centres urbains intermédiaires;12448;0;63,82;0;20,09;0;10,99;5,1;Aude;Occitanie;1;6;1;0;1;0;0;1;0;1;0;1;1;1
11203;11203;Lézignan-Corbières;2;Centres urbains intermédiaires;10952;0;62,25;0;32,27;0;4,06;1,42;Aude;Occitanie;2;3;1;1;1;1;0;1;0;0;0;0;0;0
11206;11206;Limoux;3;Petites villes;10302;0;0;88,67;0;0;9,23;2,1;Aude;Occitanie;2;3;1;0;1;1;0;2;0;1;0;0;0;0
12176;12176;Onet-le-Château;2;Centres urbains intermédiaires;11873;0;58,51;0;27,23;0,06;12,43;1,78;Aveyron;Occitanie;1;7;0;0;0;0;0;1;0;0;0;0;0;0
12300;12300;Villefranche-de-Rouergue;3;Petites villes;11720;0;0;80,68;0;0;15,6;3,73;Aveyron;Occitanie;2;3;1;2;1;2;0;1;1;1;0;1;0;0
13007;13007;Auriol;4;Ceintures urbaines;12839;0;0;12,21;71,49;0;15,73;0,57;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2;1;0;0;0;0;0;1;0;0;0;0;0;0
13014;13014;Berre-l'Étang;2;Centres urbains intermédiaires;13912;0;68,28;0;11,6;0,22;17,64;2,27;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;1;0;0;1;1;0;1;0;0;0;1;1;1
13015;13015;Bouc-Bel-Air;4;Ceintures urbaines;15248;0,07;0;0;94,93;0;4,24;0,76;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2;4;1;0;0;0;0;1;0;0;1;0;1;1
13019;13019;Cabriès;4;Ceintures urbaines;10070;0;0;0,04;83,31;0;14,73;1,92;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;0;3;0;0;0;0;0;1;0;0;0;0;0;0
13026;13026;Châteauneuf-les-Martigues;2;Centres urbains intermédiaires;17909;0;44,66;0;38,4;9,87;6,67;0,4;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;3;1;0;0;1;1;0;1;0;0;0;1;0;0
13027;13027;Châteaurenard;2;Centres urbains intermédiaires;16669;0;60,43;0;26,04;0,1;12,6;0,82;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;2;1;1;1;3;0;1;0;0;0;0;0;0
13039;13039;Fos-sur-Mer;2;Centres urbains intermédiaires;15469;0;68,22;0;29,51;0;1,88;0,39;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;5;0;1;1;0;0;1;0;0;0;1;1;1
13040;13040;Fuveau;4;Ceintures urbaines;10115;0;0;0;71,06;0,25;28,14;0,55;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;1;0;0;0;0;0;1;0;0;0;0;0;0
13043;13043;Gignac-la-Nerthe;2;Centres urbains intermédiaires;10083;0;67,92;0;28,18;0;3,69;0,22;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;0;0;0;0;0;0;1;0;0;0;0;0;0
13069;13069;Pélissanne;2;Centres urbains intermédiaires;10554;0;78,42;0;15,55;0;4,56;1,47;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2;0;0;1;0;0;0;1;0;0;0;0;0;0
13075;13075;Plan-de-Cuques;1;Grands centres urbains;11396;98,22;0;0;1,77;0;0;0,02;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;3;0;0;0;0;0;0;1;0;0;0;0;0;0
